"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\legalLinks.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 1, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\logos.jsx", "JavaScript JSX", 107, 0, 0, 0, 0, 1, 108
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\navLinks.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\privacy.jsx", "JavaScript JSX", 67, 0, 0, 0, 0, 1, 68
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\reviewers.jsx", "JavaScript JSX", 98, 0, 0, 0, 0, 2, 100
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\security.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 1, 28
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\team.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 3, 42
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\terms.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 2, 55
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\work.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 1, 23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useAuthTokenRefresh.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 5, 23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useLockScroll.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 3, 24
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useMediaQuery.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 8, 41
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useResponsive.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 5, 22
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useSocket.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 6, 30
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\index.css", "PostCSS", 0, 0, 191, 0, 6, 38, 235
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\main.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\DashboardPage.jsx", "JavaScript JSX", 236, 0, 0, 0, 0, 25, 261
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\HomePage.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 4, 63
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\LoginPage.jsx", "JavaScript JSX", 158, 0, 0, 0, 0, 8, 166
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\PrivacyPage.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 5, 29
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\RegisterPage.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 5, 48
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 13, 210
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\SettingsPage.jsx", "JavaScript JSX", 55, 0, 0, 0, 0, 6, 61
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\TermsPage.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 6, 30
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error400.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error401.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error403.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error404.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 2, 15
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error500.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 3, 16
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\authStore.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\boardStore.js", "JavaScript", 0, 165, 0, 0, 4, 25, 194
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\modalsStore.js", "JavaScript", 0, 10, 0, 0, 0, 5, 15
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\registerStore.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\taskStore.js", "JavaScript", 0, 47, 0, 0, 0, 9, 56
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\userStore.js", "JavaScript", 0, 7, 0, 0, 0, 5, 12
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\color\normalizeColor.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\date\dateFormatter.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\filters\boardFilters.js", "JavaScript", 0, 27, 0, 0, 0, 5, 32
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\filters\boardSorts.js", "JavaScript", 0, 36, 0, 0, 0, 5, 41
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\responsesHandler\apiResponsesHandler.js", "JavaScript", 0, 66, 0, 0, 0, 11, 77
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\toast\showToast.js", "JavaScript", 0, 15, 0, 0, 0, 2, 17
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\confirmCodeSchema.js", "JavaScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\emailSchema.js", "JavaScript", 0, 4, 0, 0, 0, 2, 6
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\loginSchema.js", "JavaScript", 0, 7, 0, 0, 0, 3, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\passwordResetSchema.js", "JavaScript", 0, 38, 0, 0, 0, 6, 44
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\registerSchema.js", "JavaScript", 0, 49, 0, 0, 0, 8, 57
"Total", "-", 4400, 929, 219, 8, 86, 536, 6178
